Code	Line #	House	Room	Container	Object	Quantity	Value	Substrate	Trim or Accouterments	Contents	Size and Shape	Color	Condition	Function	Style	Gender	Owner	Other words
1348-01 	6 					due, unum 												et, mastre, pestrenhum
1348-01 	7 				cacobum 	unum 												
1348-01 	8 				camisia 	duo 												
1348-01 	9 				balansie 	quodam 		cupre 										
1348-01 	10 				calegni 	duo 												
1348-01 	11 				cassia 	quodam 		fuste 	cum brachie et ponderibus lapideis ad ponderandum farinam 									
1348-01 	12 					unum 												(damage), ...., barucellandi, farinam, scrineum
1348-01 	13 				armarium 	unum 												
1348-01 	14 					una 			cum tabulonis 									comendendi, tabuleta
1348-01 	15 				matalassium 	unum 												
1348-01 	16 				pulvinar 	unum 									listatum 			
1348-01 	17 				culcitram 	unam 		laneam 										
1348-01 	18 				targia 	due 												
1348-01 	19 				aysate 	tres 												
1348-01 	20 				securam 	unam 												
1348-01 	21 				picque 	due 												
1348-01 	22 				balista 	una 			cum croco et tribus carcaysiis cum cadrellis 									
1348-01 	23 				picarrium 	unum 		stagni 										
1348-01 	24 				bancqui 	duo 												
1348-01 	25 				barrila 	una 												
1348-01 	26 				barila 	alia 			cum uno bodio 									
1348-01 	27 				chavarine 	due 												
1348-01 	28 				capellum 	unum 		de feurre 										
1348-01 	29 				cruvellum 													
1348-01 	30 				lanterna 	una 												
1348-01 	31 				gobelli 	duo 		stagni 										
1348-01 	32 				bosselli 	duo 		de vitrio 										
1348-01 	33 				brilla 	quadam 												
1348-01 	34 				gavanholum 	unum 												
1348-01 	35 					tenendi, unum 												canistrum, panem
1348-01 	36 				gaveda 	quadam 												
1348-01 	37 				canestellum 	unum 												
1348-01 	38 				cacxiete 	due 												
1348-01 	39 																	iiiior, mappe
1348-01 	40 				lintheamina 	quinque 												
1348-01 	41 				manutergia 	quinque 												
1348-01 	42 																	de pebrello, mulieris, tunicam
1348-01 	43 											de blavo 						hominis, tunicam
1348-01 	44 				mantellum 	unum 						rubeum 						
1348-01 	45 					pro uno 		panni 				de rubeo 						expendito, floreno, franseum, gardacossium, in, mulierem, pignore, positum, pro exequiis
1348-01 	46 				canestellum. 	unum 												
1348-01 	47 					unum 			cum bassachia et culcitra 									lectum, tabularum
1348-01 	48 					due, unum 												chalonum, et, flassiate
1348-01 	49 																	4, lintheamina
1348-01 	50 					unum 												maniculum, pauci, valoris
1348-01 	51 																	cotardia, de camelino
1348-01 	52 				gippa 	quodam 												
1348-01 	53 																	(damage), ….
1348-01 	54 				scrineum 	unum 				vacuum 								
1348-01 	55 				cacxieta 	quadam 												
1348-01 	56 					quadam 		de ferro 	cum quadam furca ferri 									furni, pala
1348-01 	57 				gavanholi 	duo 												
1348-01 	58 					quadam 		de fusta 										furni, pala
1348-01 	59 																	ad opus, de pertitis, furni
1348-01 	60 					tres 								ad tenendum 				farinam, parvi, sachi
1348-01 	61 				lintheamina 	duo 												
1348-01 	62 				mappeta 	una 												
1348-01 	63 					unam 						de blavo 						mulieris, tunicam
1348-01 	64 					unum 						rubeum 						cossetum, mulieris
