Line	Substrates	Colors	Accessories	Contents	Styles	Numbers	Others	Attachment
17 						due, unum 	et, mastre, pestrenhum 	
18 						unum 	cacobum 	
19 						duo 	camisia 	
20 	cupre 					quodam 	balansie 	
21 						duo 	calegni 	
22 	fuste 					quodam 	cassia 	cum brachie et ponderibus lapideis ad ponderandum farinam
23 						unum 	(damage), ...., barucellandi, farinam, scrineum 	
24 						unum 	armarium 	
26 						unum 	matalassium 	
27 					listatum 	unum 	pulvinar 	
28 	laneam 					unam 	culcitram 	
29 						due 	targia 	
30 						tres 	aysate 	
31 						unam 	securam 	
32 						due 	picque 	
33 						una 	balista 	cum croco et tribus carcaysiis cum cadrellis
34 	stagni 					unum 	picarrium 	
35 						duo 	bancqui 	
36 						una 	barrila 	
37 						alia 	barila 	cum uno bodio
38 						due 	chavarine 	
39 	de feurre 					unum 	capellum 	
40 							cruvellum 	
41 						una 	lanterna 	
42 	stagni 					duo 	gobelli 	
43 	de vitrio 					duo 	bosselli 	
44 						quadam 	brilla 	
45 						unum 	gavanholum 	
46 						unum 	canistrum, panem, tenendi 	
47 						quadam 	gaveda 	
48 						unum 	canestellum 	
49 						due 	cacxiete 	
50 							iiiior, mappe 	
51 						quinque 	lintheamina 	
52 						quinque 	manutergia 	
53 							de pebrello, mulieris, tunicam 	
54 							de blavo, hominis, tunicam 	
55 						unum 	mantellum, rubeum 	
56 	panni 					uno 	de rubeo, exequiis, expendito, floreno, franseum, gardacossium, in, mulierem, pignore, positum, pro, pro 	
57 						unum 	canestellum. 	
58 						unum 	lectum, tabularum 	cum bassachia et culcitra
59 						due, unum 	chalonum, et, flassiate 	
60 							4, lintheamina 	
61 						unum 	maniculum, pauci, valoris 	
62 							cotardia, de camelino 	
63 						quodam 	gippa 	
64 							(damage), …. 	
65 				vacuum 		unum 	scrineum 	
66 						quadam 	cacxieta 	
67 	de ferro 					quadam 	furni, pala 	cum quadam furca ferri
68 						duo 	gavanholi 	
69 						quadam 	de fusta, furni, pala 	
70 							ad, de pertitis, furni, opus 	
71 						tres 	ad, farinam, parvi, sachi, tenendum 	
72 						duo 	lintheamina 	
73 						una 	mappeta 	
74 						unam 	de blavo, mulieris, tunicam 	
75 						unum 	cossetum, mulieris, rubeum 	
