Line	Substrates	Colors	Accessories	Contents	Styles	Numbers	Others	Attachment
21 						due 	mastre 	
23 						unum 	cacobum 	
24 						duo 	camisia 	
25 	cupre 					quodam 	balansie 	
26 						duo 	calegni 	
27 	fuste 					quodam 	cassia 	cum brachie
29 						unum 	(damage), ...., barucellandi, farinam, scrineum 	
30 						unum 	armarium 	
31 						una 	comendendi, tabuleta 	cum tabulonis
32 						unum 	matalassium 	
33 					listatum 	unum 	pulvinar 	
34 	laneam 					unam 	culcitram 	
35 						due 	targia 	
36 						tres 	aysate 	
37 						unam 	securam 	
38 						due 	picque 	
39 						una 	balista 	cum croco
41 	stagni 					unum 	picarrium 	
42 						duo 	bancqui 	
43 						una 	barrila 	
44 						alia 	barila 	cum uno bodio
45 						due 	chavarine 	
46 	de feurre 					unum 	capellum 	
47 							cruvellum 	
48 						una 	lanterna 	
49 	stagni 					duo 	gobelli 	
50 	de vitrio 					duo 	bosselli 	
51 						quadam 	brilla 	
52 						unum 	gavanholum 	
53 						unum 	canistrum, panem, tenendi 	
54 						quadam 	gaveda 	
55 						unum 	canestellum 	
56 						due 	cacxiete 	
57 							iiiior, mappe 	
58 						quinque 	lintheamina 	
59 						quinque 	manutergia 	
60 							de pebrello, mulieris, tunicam 	
61 							de blavo, hominis, tunicam 	
62 						unum 	mantellum, rubeum 	
63 	panni 					uno 	de rubeo, exequiis, expendito, floreno, franseum, gardacossium, in, mulierem, pignore, positum, pro, pro 	
64 						unum 	canestellum. 	
65 						unum 	lectum, tabularum 	cum bassachia
67 						unum 	chalonum 	
69 							4, lintheamina 	
70 						unum 	maniculum, pauci, valoris 	
71 							cotardia, de camelino 	
72 						quodam 	gippa 	
73 							(damage), …. 	
74 				vacuum 		unum 	scrineum 	
75 						quadam 	cacxieta 	
76 	de ferro 					quadam 	furni, pala 	cum quadam furca ferri
77 						duo 	gavanholi 	
78 						quadam 	de fusta, furni, pala 	
79 							ad, de pertitis, furni, opus 	
80 						tres 	ad, farinam, parvi, sachi, tenendum 	
81 						duo 	lintheamina 	
82 						una 	mappeta 	
83 						unam 	de blavo, mulieris, tunicam 	
84 						unum 	cossetum, mulieris, rubeum 	
