Code	Line #	House	Room	Container	Object	Quantity	Value	Substrate	Trim or Accouterments	Contents	Size and Shape	Color	Condition	Function	Style	Gender	Owner	Other words	NumOther
1405-03 	6 					aliam, quandam 			cum tribus plethis cum suo torculari 		parvam 								0
1405-03 	7 					unum 					capacitatis, milhayrolarum 	rubeo 							0
1405-03 	8 					alia, duo 					capacitatis, milhayrolarum 	rubeo 							0
1405-03 	9 					alia, decem, duo 					capacitatis, milhayrolarum, parva 	rubeo 							0
1405-03 	10 					sex, unam 					capacitatis, parvam 	albo 							0
1405-03 	11 					duo 				vacua 									0
1405-03 	12 									vacuas 	parvas 								0
1405-03 	13 					unam 													0
1405-03 	14 					unam 													0
1405-03 	15 					unum 					magnum 								0
1405-03 	16 					unum 		fusteum 											0
1405-03 	17 					unum 		ferratum 											0
1405-03 	19 					unam 			cum tabulonis 										0
1405-03 	20 					unum 													0
1405-03 	21 					unam 													0
1405-03 	22 																		0
1405-03 	23 										parva 								0
1405-03 	24 					unam 													0
1405-03 	26 					unam 			cum duabus bredolis 										0
1405-03 	27 					unam, unum 													0
1405-03 	28 					unum 													0
1405-03 	29 					tres 						viridis 							0
1405-03 	30 					tria, unum 													0
1405-03 	31 					unam 													0
1405-03 	33 					unum 						de livido 							0
1405-03 	34 					duo 													0
1405-03 	35 					unum 						rubeum 							0
1405-03 	36 					quandam 			cum certis cartis seu instrumentis 		parvam 								0
1405-03 	37 					alias, duas 			cum certis velis et camisiis domine 		parvas 								0
1405-03 	39 					unam 					parvam 								0
1405-03 	40 					unum 					parvam 								0
1405-03 	41 					unum 													0
1405-03 	42 					unam 													0
1405-03 	43 					unam, unum 		panni 				lividi 							0
1405-03 	44 					unam 					parvam 								0
1405-03 	45 					unam 		fusteam 					fractam 						0
1405-03 	46 					unam 		fusteam 											0
1405-03 	47 					unam 							veterem 						0
1405-03 	48 					unum 		ferreum 											0
1405-03 	49 					unum 			cum aliquibus sissoriis fuste 										0
1405-03 	51 					unam 			cum tabulonis 										0
1405-03 	52 					unam 													0
1405-03 	53 					unam 					parvam 		veterem 						0
1405-03 	54 					unam 					magnam 								0
1405-03 	55 					aliam, unam 					parvam 				perforatam 				0
1405-03 	56 					duos, duos 													0
1405-03 	57 					tria 		cupri 											0
1405-03 	58 					unam 													0
1405-03 	59 					unam 													0
1405-03 	60 					unum 		cupri 											0
1405-03 	61 					duos 							veteres 						0
1405-03 	62 					duas, tres 		stagni 											0
1405-03 	63 																		0
1405-03 	64 					duos 		stagni 											0
1405-03 	65 					sex, sex 		stagni 											0
1405-03 	66 					unam, unam 								ad portandum 					0
1405-03 	67 					unum 													0
1405-03 	68 					duas, duo 		ferri 											0
1405-03 	69 					unum 		ferri 											0
1405-03 	70 					duos, tres 													0
1405-03 	71 					unam 							veterem 						0
1405-03 	72 					duo 		lotoni 											0
1405-03 	73 					unum 					terre 								0
1405-03 	74 					duas 					terre 								0
1405-03 	76 					unam 			cum bredola 		magnam 								0
1405-03 	77 					unum 													0
1405-03 	78 					duo 													0
1405-03 	79 					unam 						de livido 							0
1405-03 	80 					unam 													0
1405-03 	81 					unum 						de livido 							0
1405-03 	82 					quinque 			cum listis [edging] rubeis 										0
1405-03 	83 					quinque 													0
1405-03 	84 					unum 													0
1405-03 	85 					unam 						de livido 							0
1405-03 	86 					unum 					parvum 								0
1405-03 	87 					unam 									listatam 				0
1405-03 	88 					unam 							veterem 						0
1405-03 	89 					aliam, quandam 													0
1405-03 	93 												bonas, debiles 						0
1405-03 	97 					unam 			cum uno matalacio 		parvam 								0
1405-03 	98 					duas 													0
1405-03 	99 					quinque 					terre 								0
1405-03 	100 					unam 					parvam 								0
1405-03 	102 					unam 		depro auri, panni 	foderatum 										0
1405-03 	103 					quandam, quandam 		panni, panni 	foderatum 			lividi, lividi, rubei 	veteri 						0
1405-6 	6 					duas 							debiles 						0
1405-6 	7 					duo 							bona 						0
1405-6 	8 					alia, sex 													0
1405-6 	9 					duas 													0
1405-6 	10 					unum 		stagni 											0
1405-6 	11 					aygaderiam, unam 		stagni 											0
1405-6 	12 					unum 					parvum 								0
1405-6 	13 					unum 					parvum 								0
1405-6 	14 					duas 													0
1405-6 	15 					unam 							fractam 						0
1405-6 	16 					duas 					terre 								0
1405-6 	17 					duobus, una, una, unum 		lanea 											0
1405-6 	18 					unam 							veterem 						0
1405-6 	19 					duo 													0
1405-6 	20 					unum 													0
1405-6 	21 					unam 													0
1405-6 	22 																		0
1405-6 	23 																		0
1405-6 	24 					unam 													0
1405-6 	25 					unum 													0
1405-6 	26 					duo 													0
1405-6 	27 					unum 													0
