Code	Line #	House	Room	Container	Object	Quantity	Value	Substrate	Trim or Accouterments	Contents	Size and Shape	Color	Condition	Function	Style	Gender	Owner	Other words	NumOther
1405-03 	6 					aliam 			cum tribus plethis cum suo torculari 									parvam, quandam, tinam 	3
1405-03 	7 					unum 						rubeo 						capacitatis, circa, milhayrolarum, plenum, vas, vel, vino, xxiiii 	8
1405-03 	8 					alia, duo 						rubeo 						capacitatis, circa, milhayrolarum, plena, quodlibet, vasa, vel, viginti, vino 	9
1405-03 	9 					alia, decem, duo 						rubeo 						capacitatis, circa, milhayrolarum, parva, plena, quolibet, vasa, vel, vino 	9
1405-03 	10 					sex, unam 						albo 						botam, capacitatis, milhayroarum, parvam, plenam, vino 	6
1405-03 	11 					duo 				vacua 								vasa, vinaria 	2
1405-03 	12 									vacuas 								botas, parvas, quatuor 	3
1405-03 	13 				discaricatoria 	unam 													1
1405-03 	14 				trahedoyram 	unam 													1
1405-03 	15 					unum 												imbutum, magnum 	2
1405-03 	16 				bancum 	unum 		fusteum 											1
1405-03 	17 					unum 		ferratum 										pohayce, pro puteo, sive 	3
1405-03 	19 					unam 			cum tabulonis 									mensalem, tabulam 	2
1405-03 	20 				dreyssatorium 	unum 													1
1405-03 	21 					unam 												mensam, retro, scueriam 	3
1405-03 	22 																	pavesia, quatuor 	2
1405-03 	23 																	[adornment], aule, duodecim, parva, pavesia, pro paramento, que, scussella, sive, tenentur 	10
1405-03 	24 					unam 												psitaci, tristegam 	2
1405-03 	26 					unam 			cum duabus bredolis 									[bed], colcam 	2
1405-03 	27 					unam, unum 												culcitram, et, matalacium 	3
1405-03 	28 				transverserium 	unum 													1
1405-03 	29 					tres 						viridis 						[curtains], cortinarum, petias, tele 	4
1405-03 	30 					tria, unum 												[cushion], [pillows], auricularia, bancale, et 	5
1405-03 	31 					unam 												capciam, de nuce, eam,, et, infra, res, sequentes, sistentes, viz 	9
1405-03 	33 					unum 						de livido 						Guillelmi, ipsius, mantellum 	3
1405-03 	34 					duo 												capucia, de violeto, domine 	3
1405-03 	35 					unum 						rubeum 						domine, et, mantellum 	3
